Institute ID,Name,City,State,Score,Rank
IR-C-C-6355,Miranda House,Delhi,Delhi,78.00,1
IR-C-C-6377,Hindu College,Delhi,Delhi,71.86,2
IR-C-C-43921,Presidency College,Chennai,Tamil Nadu,71.67,3
IR-C-C-44006,Loyola College,Chennai,Tamil Nadu,71.00,4
IR-C-C-6415,Lady Shri Ram College For Women,New Delhi,Delhi,70.83,5
IR-C-C-41046,PSGR Krishnammal College for Women,Coimbatore,Tamil Nadu,70.68,6
IR-C-C-22462,Atma Ram Sanatan Dharm College,New Delhi,Delhi,70.46,7
IR-C-C-11881,St. Xavier`s College,Kolkata,West Bengal,69.54,8
IR-C-C-11926,Ramakrishna Mission Vidyamandira,Howrah,West Bengal,69.24,9
IR-C-C-6385,Kirori Mal College,Delhi,Delhi,68.53,10
IR-C-C-22470,St. Stephens's College,Delhi,Delhi,68.30,11
IR-C-C-6419,Shri Ram College of Commerce,Delhi,Delhi,67.89,12
IR-C-I-1317,Rama Krishna Mission Vivekananda Centenary College,Rahara,West Bengal,67.56,13
IR-C-C-6425,Hans Raj College,Delhi,Delhi,67.38,14
IR-C-C-6369,Sri Venkateswara College,Delhi,Delhi,67.38,14
IR-C-C-27608,Lady Irwin College,Delhi,Delhi,66.25,16
IR-C-C-43965,Madras Christian College,Chennai,Tamil Nadu,65.72,17
IR-C-C-6380,Acharya Narendra Dev College,New Delhi,Delhi,65.46,18
IR-C-C-42814,Ramakrishna Mission Residential College,Kolkata,West Bengal,65.17,19
IR-C-C-41124,PSG College of Arts and Science,Coimbatore,Tamil Nadu,64.56,20
IR-C-C-6361,Deen Dayal Upadhyaya College,New Delhi,Delhi,64.25,21
IR-C-C-36513,Thiagarajar College,Madurai,Tamil Nadu,63.59,22
IR-C-C-6429,Gargi College,Delhi,Delhi,62.50,23
IR-C-C-43671,"University College, Thiruvananthapuram",Thiruvananthapuram,Kerala,61.91,24
IR-C-C-6387,Bhaskaracharya College of Applied Sciences,New Delhi,Delhi,61.65,25
IR-C-C-35860,"St. Joseph`s College, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,61.60,26
IR-C-C-11691,Rajagiri College of Social Sciences,Ernakulam,Kerala,61.43,27
IR-C-C-6409,Deshbandhu College,New Delhi,Delhi,61.02,28
