Institute ID,Name,City,State,Score,Rank
IR-N-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,82.30,1
IR-N-C-7254,"Manipal College of Dental Sciences, Manipal",Udupi,Karnataka,77.28,2
IR-N-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,76.67,3
IR-N-C-28507,Maulana Azad Institute of Dental Sciences,Delhi,Delhi,70.48,4
IR-N-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,69.13,5
IR-N-C-19320,A.B.Shetty Memorial Institute of Dental Sciences,Mangaluru,Karnataka,68.38,6
IR-N-C-7240,"Manipal College of Dental Sciences, Mangalore",Mangalore,Karnataka,67.48,7
IR-N-N-352,SRM Dental College,Chennai,Tamil Nadu,66.12,8
IR-N-C-14033,"Govt. Dental College, Nagpur",Nagpur,Maharashtra,64.20,9
IR-N-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,62.13,10
IR-N-U-0295,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,61.70,11
IR-N-C-35008,JSS Dental College and Hospital,Mysuru,Karnataka,59.45,12
IR-N-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,59.38,13
IR-N-U-0724,M.S. Ramaiah University of Applied Sciences,Bangalore,Karnataka,58.47,14
IR-N-C-30756,Postgraduate Institute of Dental Sciences,Rohtak,Haryana,58.10,15
IR-N-U-0108,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,57.98,16
IR-N-N-153,Nair Hospital Dental College,Mumbai,Maharashtra,57.72,17
IR-N-C-40178,"Government Dental College, Bangalore",Bangalore,Karnataka,57.55,18
IR-N-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,56.58,19
IR-N-N-238,SDM College of Dental Sciences & Hospital,Dharwad,Karnataka,56.47,20
IR-N-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,55.83,21
IR-N-U-0465,Meenakshi Academy of Higher Education and Research,Chennai,Tamil Nadu,55.65,22
IR-N-C-8528,Yenepoya Dental College,Mangaluru,Karnataka,53.90,23
IR-N-C-30570,"Vishnu Dental College, Bheemavaram",Bhimavaram,Andhra Pradesh,53.73,24
IR-N-U-0461,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,53.15,25
IR-N-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,52.84,26
IR-N-C-45605,Chettinad Dental College and Research Institute ,Kelambakkam,Tamil Nadu,52.74,27
IR-N-C-40342,K L E Society's Institute of Dental Sciences,Bengaluru,Karnataka,52.72,28
IR-N-N-91,Sree Balaji Dental College & Hospital,Chennai,Tamil Nadu,51.91,29
IR-N-C-48122,Government Dental College,Thiruvananthapuram,Kerala,51.71,30
IR-N-C-5911,Karnavati University,Gandhinagar,Gujarat,51.70,31
IR-N-C-45413,"Ragas Dental College & Hospital, Chennai",Chennai,Tamil Nadu,50.88,32
IR-N-N-339,Gitam Dental College & Hospital,Vishakhapatnam,Andhra Pradesh,50.45,33
IR-N-C-40140,Raja Rajeswari Dental College & Hospital,Bengaluru,Karnataka,50.07,34
IR-N-C-14022,"MGM Dental College, Navi Mumbai",Navi Mumbai,Maharashtra,49.97,35
IR-N-C-5910,Government Dental College,Ahmedabad,Gujarat,49.93,36
IR-N-C-14028,"MGVs Karmaveer Bhausaheb Hire Dental College, Nashik",Nashik,Maharashtra,49.87,37
IR-N-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,49.83,38
IR-N-C-29701,"Govt. Dental College, Indore",Indore,Madhya Pradesh,48.85,39
IR-N-C-16436,Guru nanak Institute of Dental Sciences & Research,Kolkata,West Bengal,48.80,40
