Institute ID,Name,City,State,Score,Rank
IR-L-U-0238,National Law School of India University,Bengaluru,Karnataka,78.00,1
IR-L-U-0111,National Law University,New Delhi,Delhi,73.96,2
IR-L-C-19328,Symbiosis Law School,Pune,Maharashtra,73.73,3
IR-L-N-18,Nalsar University of Law,Hyderabad,Telangana,73.05,4
IR-L-U-0585,The West Bengal National University of Juridicial Sciences,Kolkata,West Bengal,70.72,5
IR-L-U-0573,"Indian Institute of Technology, Kharagpur",Kharagpur,West Bengal,67.27,6
IR-L-U-0108,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,63.62,7
IR-L-U-0134,Gujarat National Law University,Gandhinagar,Gujarat,63.52,8
IR-L-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,63.47,9
IR-L-U-0414,"National Law University, Jodhpur",Jodhpur,Rajasthan,62.35,10
IR-L-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,61.55,11
IR-L-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,60.11,12
IR-L-U-0379,Lovely Professional University,Phagwara,Punjab,57.57,13
IR-L-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,55.41,14
IR-L-U-0285,"National Law Institute University, Bhopal",Bhopal,Madhya Pradesh,54.28,15
IR-L-U-0217,Christ University,Bengaluru,Karnataka,53.56,16
IR-L-U-0511,"Dr. Ram Manohar Lohiya National Law University, Lucknow",Lucknow,Uttar Pradesh,53.23,17
IR-L-U-0386,"The Rajiv Gandhi National University of Law, Patiala",Patiala,Punjab,52.73,18
IR-L-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,51.87,19
IR-L-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,51.66,20
IR-L-U-0564,University of Petroleum and Energy Studies,Dehradun,Uttarakhand,50.18,21
IR-L-U-0600,"National University of Study & Research in Law, Ranchi",Ranchi,Jharkhand,49.84,22
IR-L-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,49.43,23
IR-L-U-0677,National Law University and Judicial Academy,Kamrup,Assam,49.27,24
IR-L-U-0358,National Law University,Cuttack,Odisha,48.81,25
IR-L-C-22215,"Army Institute of Law, Mohali",Mohali,Punjab,47.68,26
IR-L-U-0155,"Amity University Haryana, Gurgaon",Gurugram,Haryana,46.93,27
IR-L-C-6601,"Sikkim Government Law College, Burtuk",Gangtok,Sikkim,45.92,28
IR-L-U-0103,Indian Law Institute,New Delhi,Delhi,45.40,29
IR-L-U-0078,Panjab University,Chandigarh,Chandigarh,45.21,30
