Institute ID,Name,City,State,Score,Rank
IR-M-S-8890,Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,83.35,1
IR-M-S-8903,Indian Institute of Management Bangalore,Bengaluru,Karnataka,82.62,2
IR-M-S-8972,Indian Institute of Management Calcutta,Kolkata,West Bengal,78.64,3
IR-M-I-1074,"Indian Institute of Technology, Delhi",New Delhi,Delhi,75.10,4
IR-M-S-8909,Indian Institute of Management Kozhikode,Kozhikode,Kerala,74.74,5
IR-M-S-8959,Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,74.55,6
IR-M-S-8918,Indian Institute of Management Indore,Indore,Madhya Pradesh,70.66,7
IR-M-S-132,Xavier Labour Relations Institute (XLRI),Jamshedpur,Jharkhand,69.67,8
IR-M-S-8931,"National Institute of Industrial Engineering, Mumbai",Mumbai,Maharashtra,68.84,9
IR-M-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,66.60,10
IR-M-U-0306,"Indian Institute of Technology, Bombay",Mumbai,Maharashtra,66.24,11
IR-M-U-0573,"Indian Institute of Technology, Kharagpur",Kharagpur,West Bengal,65.15,12
IR-M-I-1170,Management Development Institute,Gurugram,Haryana,64.70,13
IR-M-S-8868,Indian Institute of Management Raipur,Raipur,Chhattisgarh,63.57,14
IR-M-S-8904,Indian Institute of Management Ranchi,Ranchi,Jharkhand,62.33,15
IR-M-S-8895,Indian Institute of Management Rohtak,Rohtak,Haryana,62.20,16
IR-M-C-19343,Symbiosis Institute of Business Management,Pune,Maharashtra,61.97,17
IR-M-S-8948,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,61.88,18
IR-M-U-0560,"Indian Institute of Technology, Roorkee",Roorkee,Uttarakhand,61.76,19
IR-M-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,61.20,20
IR-M-I-1044,S. P. Jain Institute of Management & Research,Mumbai,Maharashtra,59.51,21
IR-M-S-8942,Indian Institute of Management Udaipur,Udaipur,Rajasthan,59.28,22
IR-M-S-8967,Indian Institute of Management Kashipur,Kashipur,Uttarakhand,59.06,23
IR-M-U-0102,Indian Institute of Foreign Trade,New Delhi,Delhi,58.31,24
IR-M-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,58.14,25
IR-M-S-8937,Indian Institute of Management Shillong,Shillong,Meghalaya,57.84,26
IR-M-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,57.83,27
IR-M-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,57.43,28
IR-M-U-0108,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,56.44,29
IR-M-I-1064,International Management Institute,New Delhi,Delhi,55.00,30
IR-M-N-16,Great Lakes Institute of Management,Chennai,Tamil Nadu,54.90,31
IR-M-U-0012,"ICFAI Foundation for Higher Education, Hyderabad",Hyderabad,Telangana,54.88,32
IR-M-U-1007,Indian Institute of Management Visakhapatnam,Visakhapatnam,Andhra Pradesh,54.36,33
IR-M-U-0379,Lovely Professional University,Phagwara,Punjab,54.30,34
IR-M-U-0715,XIM University,Bhubaneswar,Odisha,54.10,35
