Institute ID,Name,City,State,Score,Rank
IR-D-N-15,"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,91.60,1
IR-D-U-0079,Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,79.00,2
IR-D-C-45654,Christian Medical College,Vellore,Tamil Nadu,72.84,3
IR-D-U-0236,"National Institute of Mental Health & Neuro Sciences, Bangalore",Bangalore,Karnataka,71.56,4
IR-D-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,68.12,5
IR-D-U-0368,Jawaharlal Institute of Post Graduate Medical Education & Research,Puducherry,Pondicherry,67.64,6
IR-D-N-33,Sanjay Gandhi Postgraduate Institute of Medical Sciences,Lucknow,Uttar Pradesh,67.18,7
IR-D-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,66.49,8
IR-D-U-0266,"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram",Thiruvananthapuram,Kerala,65.17,9
IR-D-C-7242,"Kasturba Medical College, Manipal",Manipal,Karnataka,63.89,10
IR-D-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,61.68,11
IR-D-C-49008,"Madras Medical College & Government General Hospital, Chennai",Chennai,Tamil Nadu,60.71,12
IR-D-U-0106,Institute of Liver and Biliary Sciences,New Delhi,Delhi,58.79,13
IR-D-C-40453,St. John's Medical College,Bengaluru,Karnataka,58.49,14
IR-D-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,57.92,15
IR-D-U-0689,All India Institute of Medical Sciences Jodhpur,Jodhpur,Rajasthan,57.47,16
IR-D-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,57.41,17
IR-D-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,57.21,18
IR-D-C-32922,Vardhman Mahavir Medical College & Safdarjung Hospital,New Delhi,Delhi,57.15,19
IR-D-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,57.05,20
IR-D-C-16428,Institute of Post Graduate Medical Education & Research,Kolkata,West Bengal,57.02,21
IR-D-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,56.19,22
IR-D-C-6414,Maulana Azad Medical College,Delhi,Delhi,55.94,23
IR-D-U-0295,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,55.21,24
IR-D-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,54.73,25
IR-D-U-0688,All India Institute of Medical Sciences Bhubaneswar,Khordha,Odisha,54.71,26
IR-D-C-29442,Govt. Medical College & Hospital,Chandigarh,Chandigarh,54.02,27
IR-D-I-1409,University College of Medical Sciences,Delhi,Delhi,53.62,28
IR-D-C-22461,Lady Hardinge Medical College,New Delhi,Delhi,53.44,29
IR-D-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,53.05,30
IR-D-C-7251,"Kasturba Medical College, Mangalore",Mangaluru,Karnataka,52.83,31
IR-D-U-0168,Maharishi Markandeshwar,Ambala,Haryana,52.81,32
IR-D-U-0107,Jamia Hamdard,New Delhi,Delhi,52.51,33
IR-D-C-35009,"JSS Medical College, Mysore",Mysore,Karnataka,52.47,34
IR-D-C-45515,"PSG Institute of Medical Sciences & Research, Coimbatore",Coimbatore,Tamil Nadu,52.44,35
IR-D-C-29209,"Christian Medical College, Ludhiana",Ludhiana,Punjab,51.89,36
IR-D-C-5838,Gujarat Cancer & Research Institute,Ahmadabad,Gujarat,50.87,37
IR-D-C-40345,M. S. Ramaiah Medical College,Bengaluru,Karnataka,50.70,38
IR-D-U-0451,Chettinad Academy of Research and Education,"Kelambakkam, Chengalpattu District",Tamil Nadu,50.35,39
IR-D-C-29255,Dayanand Medical College,Ludhiana,Punjab,50.32,40
IR-D-N-17,Sawai Man Singh Medical College,Jaipur,Rajasthan,49.93,41
IR-D-U-0311,"Krishna Institute of Medical Sciences Deemed University, Karad",Karad,Maharashtra,49.76,42
IR-D-C-16424,Medical College,Kolkata,West Bengal,49.73,43
IR-D-N-0158,SCB Medical College and Hospital,Cuttack,Odisha,49.02,44
IR-D-U-0321,"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,48.59,45
IR-D-C-9435,Regional Institute of Medical Sciences,Imphal West,Manipur,48.21,46
IR-D-C-47762,Mahatma Gandhi Medical College and Research Institute,Puducherry,Pondicherry,48.05,47
IR-D-U-0691,"All India Institute of Medical Sciences, Rishikesh",Rishikesh,Uttarakhand,47.98,48
IR-D-U-0690,"All India Institute of Medical Sciences, Raipur",Raipur,Chhattisgarh,47.44,49
IR-D-C-6051,B. J. Medical College,Ahmadabad,Gujarat,46.53,50
