Institute ID,Name,City,State,Score,Rank
IR-P-U-0107,Jamia Hamdard,New Delhi,Delhi,79.50,1
IR-P-I-1077,National Institute of Pharmaceutical Education and Research Hyderabad,Hyderabad,Telangana,79.46,2
IR-P-U-0078,Panjab University,Chandigarh,Chandigarh,76.29,3
IR-P-U-0380,"National Institute of Pharmaceutical Education and Research, Mohali",Mohali,Punjab,75.78,4
IR-P-U-0391,Birla Institute of Technology & Science - Pilani,Pilani,Rajasthan,74.99,5
IR-P-C-35006,JSS College of Pharmacy,Ooty,Tamil Nadu,74.60,6
IR-P-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,72.25,7
IR-P-C-35007,JSS College of Pharmacy,Mysore,Karnataka,71.21,8
IR-P-C-7249,"Manipal College of Pharmaceutical Sciences, Manipal",Udupi,Karnataka,67.86,9
IR-P-N-14,National Institute of Pharmaceutical Education and Research Ahmedabad,Gandhinagar,Gujarat,67.83,10
IR-P-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,64.15,11
IR-P-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,62.00,12
IR-P-I-1073,National Institute of Pharmaceutical Education and Research Guwahati,Guwahati,Assam,61.36,13
IR-P-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,60.43,14
IR-P-U-0443,Annamalai University,Annamalainagar,Tamil Nadu,59.84,15
IR-P-U-0143,Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,59.28,16
IR-P-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,58.61,17
IR-P-U-0575,Jadavpur University,Kolkata,West Bengal,58.27,18
IR-P-U-0379,Lovely Professional University,Phagwara,Punjab,57.51,19
IR-P-U-0373,Chitkara University,Rajpura,Punjab,57.02,20
IR-P-C-35430,"Poona College of Pharmacy, Pune",Pune,Maharashtra,56.69,21
IR-P-U-0853,Delhi Pharmaceutical Sciences and Research University,Delhi,Delhi,56.38,22
IR-P-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,55.59,23
IR-P-U-0168,Maharishi Markandeshwar,Ambala,Haryana,54.75,24
IR-P-U-0383,"Punjabi University, Patiala",Patiala,Punjab,54.65,25
IR-P-U-0372,Central University of Punjab,Bathinda,Punjab,54.53,26
IR-P-N-26,National Institute of Pharmaceutical Education and Research Raebareli,Lucknow,Uttar Pradesh,54.41,27
IR-P-U-0146,Nirma University,Ahmedabad,Gujarat,53.45,28
IR-P-C-10398,I. S. F. College of Pharmacy,Moga,Punjab,52.64,29
IR-P-I-1280,Maharshi Dayanand University,Rohtak,Haryana,52.59,30
IR-P-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,52.43,31
IR-P-C-33873,Bombay College of Pharmacy,Mumbai,Maharashtra,52.10,32
IR-P-U-0162,"Guru Jambheshwar University of Science and Technology, Hissar",Hisar,Haryana,51.82,33
IR-P-U-0491,Vels Institute of Science Technology & Advanced Studies (VISTAS) -Chennai,Chennai,Tamil Nadu,51.28,34
IR-P-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,51.18,35
IR-P-U-0190,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,51.04,36
IR-P-U-0747,Chandigarh University,Mohali,Punjab,50.43,37
IR-P-C-33877,SVKM`s Dr. Bhanuben Nanavati College of Pharmacy,Mumbai,Maharashtra,50.18,38
IR-P-I-1256,Noida Institute of Engineering and Technology,Greater Noida,Uttar Pradesh,49.71,39
IR-P-C-24505,"KLE College of Pharmacy, Belgaum",Belgaum,Karnataka,49.57,40
IR-P-I-1335,Dr D.Y.Patil Institute of Pharmaceutical Sciences and Research,Pune,Maharashtra,48.99,41
IR-P-U-0332,The Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,Maharashtra,48.60,42
IR-P-U-0085,Guru Ghasidas Vishwavidyalaya,Bilaspur (Chhattisgarh),Chhattisgarh,47.89,43
IR-P-U-0019,Kakatiya University,Hanumakonda,Telangana,47.38,44
IR-P-C-19322,N.G.S.M. Institute of Pharmaceutical Sciences,Mangaluru,Karnataka,46.95,45
IR-P-I-1045,R. C. Patel Institute of Pharmaceutical Education & Research,Shirpur,Maharashtra,46.92,46
IR-P-U-0051,Dibrugarh University,Dibrugarh,Assam,46.89,47
IR-P-U-0519,Integral University,Lucknow,Uttar Pradesh,46.86,48
