Institute ID,Name,City,State,Score,Rank
IR-R-U-0220,Indian Institute of Science,Bengaluru,Karnataka,88.62,1
IR-R-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,86.38,2
IR-R-I-1074,"Indian Institute of Technology, Delhi",New Delhi,Delhi,82.16,3
IR-R-U-0306,"Indian Institute of Technology, Bombay",Mumbai,Maharashtra,80.21,4
IR-R-U-0573,"Indian Institute of Technology, Kharagpur",Kharagpur,West Bengal,74.05,5
IR-R-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,72.47,6
IR-R-U-0330,Tata Institute of Fundamental Research,Mumbai,Maharashtra,66.63,7
IR-R-U-0560,"Indian Institute of Technology, Roorkee",Roorkee,Uttarakhand,66.29,8
IR-R-N-15,"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,62.48,9
IR-R-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,59.71,10
IR-R-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,58.65,11
IR-R-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,57.96,12
IR-R-U-0575,Jadavpur University,Kolkata,West Bengal,56.81,13
IR-R-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,56.75,14
IR-R-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,55.61,15
IR-R-U-0120,University of Delhi,Delhi,Delhi,55.51,16
IR-R-U-0305,"Indian Institute of Science Education & Research, Pune",Pune,Maharashtra,55.39,17
IR-R-U-0713,Academy of Scientific & Innovative Research,Ghaziabad,Uttar Pradesh,53.21,18
IR-R-U-0108,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,53.14,19
IR-R-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,53.07,20
IR-R-U-0439,Anna University,Chennai,Tamil Nadu,52.85,21
IR-R-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,51.18,22
IR-R-U-0467,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,51.14,23
IR-R-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,50.94,24
IR-R-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,50.81,25
IR-R-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,50.73,26
IR-R-U-0042,University of Hyderabad,Hyderabad,Telangana,50.52,27
IR-R-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,50.16,28
IR-R-U-0078,Panjab University,Chandigarh,Chandigarh,50.15,29
IR-R-U-0234,"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,49.96,30
IR-R-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,49.42,31
IR-R-U-0572,"Indian Institute of Science Education & Research, Kolkata",Mohanpur,West Bengal,48.08,32
IR-R-U-0391,Birla Institute of Technology & Science - Pilani,Pilani,Rajasthan,47.65,33
IR-R-U-0139,"Indian Institute of Technology, Gandhinagar",Gandhinagar,Gujarat,47.30,34
IR-R-I-1480,Thapar Institute of Engineering and Technology,Patiala,Punjab,46.38,35
IR-R-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,46.00,36
IR-R-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,44.09,37
IR-R-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,42.13,38
IR-R-U-0184,"Indian Institute of Technology, Mandi",Mandi,Himachal Pradesh,41.92,39
IR-R-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,41.36,40
IR-R-U-0064,"Indian Institute of Technology, Patna",Patna,Bihar,41.19,41
IR-R-U-0236,"National Institute of Mental Health & Neuro Sciences, Bangalore",Bangalore,Karnataka,41.14,42
IR-R-U-0435,Alagappa University,Karaikudi,Tamil Nadu,41.00,43
IR-R-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,40.40,44
IR-R-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,40.06,45
IR-R-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,39.82,46
IR-R-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,39.64,47
IR-R-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,39.58,48
IR-R-U-0272,Indian Institute of Science Education & Research Bhopal,Bhopal,Madhya Pradesh,39.51,49
IR-R-U-0055,"National Institute of Technology, Silchar",Silchar,Assam,38.67,50
