Institute ID,Name,City,State,Score,Rank
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,83.57,1
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,68.47,2
IR-O-U-0108,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,65.91,3
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,65.37,4
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,63.40,5
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,63.20,6
IR-O-U-0234,"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,62.84,7
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,62.23,8
IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,61.77,9
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,61.71,10
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,61.43,11
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,59.48,12
IR-O-U-0120,University of Delhi,Delhi,Delhi,58.66,13
IR-O-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,58.61,14
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,58.25,15
IR-O-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,57.60,16
IR-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,57.09,17
IR-O-U-0391,Birla Institute of Technology & Science - Pilani,Pilani,Rajasthan,56.68,18
IR-O-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,56.24,19
IR-O-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,56.22,20
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,56.22,20
IR-O-U-0027,Osmania University,Hyderabad,Telangana,53.07,22
IR-O-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,53.07,22
IR-O-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,53.04,24
IR-O-U-0078,Panjab University,Chandigarh,Chandigarh,52.80,25
IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,52.45,26
IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,52.33,27
